Date de la commande,Numéro de la commande,Groupe de comptes,Numéro de commande,Quantité de la commande,Devise,Sous-total de la commande,Traitement et expédition de la commande,Promotion sur la commande,Taxe sur la commande,Total net de la commande,État de la commande,Approbateur,État de réception de la commande,Quantité de commandes reçues,Utilisateur du compte,E-mail de l'utilisateur du compte,Pays/Région du numéro de TVA de l'utilisateur du compte,Numéro d'enregistrement à la TVA de l'utilisateur du compte,Date d'expédition,État de l'expédition,Statut de livraison,Date de livraison prévue,Numéro de suivi du transporteur,Quantité expédiée,Adresse d'expédition,Sous-total de l'expédition,Traitement et envoi de l'expédition,Promotion sur l'expédition,Taxe d'expédition,Total net de l'expédition,Pays/Région d'expédition,Sous-total de l'expédition,Nom du transporteur,Numéro de la facture de TVA,Emballage cadeau de l'expédition,Catégorie de produit interne à Amazon,ASIN,Titre,UNSPSC,Segment,FAMILLE,CLASSE,PRODUIT,Code de la marque,Marque,Fabricant,Numéro de stock national,Numéro de modèle de l’article,Référence,État du produit,Conformité de l'entreprise,PPU répertorié,PPU d'achat,Quantité d'articles,Sous-total de l'article,Traitement et expédition de l'article,Promotion sur l'article,Taxe sur l'article,Total net de l'article,Numéro de la ligne de commande,Programme de remise,Remise sur le prix appliquée (€ de réduction),Remise sur le prix appliquée (% de réduction),Taux de TVA sur le sous-total de l'article,Emballage cadeau de l'article,Sous-total de l'article,Statut de réception ,Quantité reçue,Date de réception,Nom du destinataire,E-mail du destinataire,Code GL,Service,Centre de coût,Code du projet,Emplacement,Champ personnalisé 1,Nom du vendeur,Identifiants du vendeur,Pays d'enregistrement à la TVA du vendeur,Numéro d'enregistrement à la TVA du vendeur
19/03/2023,408-2921217-6809141,M.S. Garuda Technologies Ltd.,CA-10012068,1,EUR,"7,49","0,00","0,00","0,00","7,49",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,19/03/2023,Expédié,Livré,20/03/2023,="52670034874893500",1,"(CA-10012068-1)Yassine Mouzoune, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","7,49","0,00","","0,00","7,49",FR,"7,49",Colis Privé,INV-FR-1244810095-2023-7447,,CE,B0BHGYZKHG,"JETech Coque Ultra Fine (0,35 mm) pour iPhone 14 Pro, 6,1 Pouces, Protection Complète d'Objectif de Caméra, Étui Housse Légère Finition Mat en PP",="43191601","Composants, fournitures et équipements informatiques et de communication",Appareils et accessoires de communication,Accessoires et pièces détachées pour appareils de communication personnels,Coques pour téléphone mobile,,JETech,JETech,,3878-,3878-,Neuf,Restreint,"7,49","7,49",1,"7,49","0,00","","0,00","7,49",="29855",,,,0%,"","7,49",,,N/A,,,,,,,,,Shenzhen Xinhaorui Technology Co Ltd,,FR,FR89852222173
19/03/2023,408-8975809-5942751,M.S. Garuda Technologies Ltd.,CA-10012067,1,EUR,"19,16","0,00","0,00","0,00","19,16",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,19/03/2023,Expédié,Livré,20/03/2023,="51670139295693500",1,"(CA-10012067-1)Benoit Ceulemans, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","19,16","0,00","","0,00","19,16",FR,"19,16",Colis Privé,INV-FR-928255615-2023-534,,CE,B07YL37CVS,"ProCase Étui Antichoc pour iPad 10.2"", iPad 9, iPad 8, iPad 7, A2602 A2603 A2604 A2605 A2270 A2428 A2429 A2430 A2197 A2198 A2200, Housse Coque de Pro",="43211620","Composants, fournitures et équipements informatiques et de communication",Accessoires et équipement informatiques,Accessoires informatiques,Etuis et housses pour tablettes tactiles,UNKNO,Procase,ProCase,,PC-08361936,PC-08361936,Neuf,Restreint,"26,99","19,16",1,"19,16","0,00","","0,00","19,16",="29854",,,,0%,"","19,16",,,N/A,,,,,,,,,KUN MING MAI BO DIAN ZI SHANG WU YOU XIAN GONG SI,,FR,FR17854073491
18/03/2023,408-4957005-2385112,M.S. Garuda Technologies Ltd.,CA-10012066,1,EUR,"12,49","0,00","0,00","2,50","14,99",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,20/03/2023,Expédié,Livré,21/03/2023,6G58381805172,1,"(CA-10012066-2)Yassine Mouzoune, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","12,49","0,00","","2,50","14,99",FR,"12,49",La Poste,INV-FR-132461901-2023-45805,,CE,B08NVR8KV8,PHONILLICO Coque Clé pour Range Rover Evoque Sport Discovery Freelander Velar Land Rover LR4 TDV6 Jaguar XE XF XJ F-Pace F-Type - Clé Intelligente t,="25172100","Véhicules commerciaux, militaires et privés, accessoires et composants",Composants et systèmes de transport,Systèmes et composants de sécurité pour véhicules,Systèmes et composants de sécurité pour véhicules,,PHONILLICO,Phonillico,,AI-102,AI-102,Neuf,Restreint,"12,49","12,49",1,"12,49","0,00","","2,50","14,99",="29853",,,,20%,"","12,49",,,N/A,,,,,,,,,PHONILLICO,,FR,FR20803474121
18/03/2023,408-8191620-6347533,M.S. Garuda Technologies Ltd.,CA-10012066,1,EUR,"21,77","0,00","0,00","0,00","21,77",En attente,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,18/03/2023,Expédié,Sans objet,07/04/2023,YT2307821272011408,1,"(CA-10012066-1)Yassine Mouzoune, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","21,77","0,00","","0,00","21,77",,"21,77",Yun Express,,,Kitchen,B08P7X77GF,ZIYUMI Universal Car Seat Cushion Foot Support Pillow Leg Support Car Seat Cushion Leather Leg Cushion Knee Pad Thigh Support Pillow Interior Car Accessories,="52121505","Mobilier, équipements domestiques, appareils ménager et électronique","Literie, linge de table et de cuisine et serviettes",Draps de lit,Oreillers,,ZIYUMI,ZIYUMI,,,K245,Neuf,Restreint,"21,77","21,77",1,"21,77","0,00","","0,00","21,77",="29852",,,,0%,"","21,77",,,N/A,,,,,,,,,shenzhenshiziyoukejiyouxiangongsi,,,
18/03/2023,171-2259802-6009945,Purchasing,CA-10012064-1,1,EUR,"7,52","0,00","0,00","0,00","7,52",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,18/03/2023,Expédié,Livré,21/03/2023,6G57946838532,1,"CA-10012064-1 Rozara, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), Pantin, 93500, FR","7,52","0,00","","0,00","7,52",,"7,52",La Poste,FR312HAABEY,,Lighting,B08XJ6ZDD3,"Éclairage néon LED avec alimentation USB ou batterie - Décoration néon pour bar, fête, mariage, cadeau romantique pour garçons, filles, salon",="39111500",Systèmes électriques et éclairage et composants et accessoires et fournitures,"Éclairages, fixations et accessoires",Éclairages intérieurs et accessoires,Éclairages intérieurs et accessoires,,Lightzz,Lightzz,,NE-2021,,Neuf,,"7,52","7,52",1,"7,52","0,00","","0,00","7,52",,,,,0%,"","7,52",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
18/03/2023,408-5433960-8468361,M.S. Garuda Technologies Ltd.,CA-10012065,1,EUR,"22,49","0,00","0,00","0,00","22,49",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,18/03/2023,Expédié,Livré,21/03/2023,6G57128497304,1,"(CA-10012065-1)SALOUA ELBACHIRI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","22,49","0,00","","0,00","22,49",IT,"22,49",La Poste,INV-IT-484700875-2023-195,,Kitchen,B07M6JV3BM,"New brothread Wash Away (Soluble dans l'eau) Stabilisateur de Broderie 10"" x25Yd Rouleau - Poids Léger 40gm(1.5oz) Couper en différentes Tailles pou",="60120000","Instruments de musique, jeux, jouets, et équipements, matériel, accessoires et fournitures pour l'enseignement et les activités artisanales et artistiques","Équipements, accessoires et fournitures pour les activités artisanales et artistiques","Équipements, accessoires et fournitures pour les activités artisanales et artistiques","Équipements, accessoires et fournitures pour les activités artisanales et artistiques",,New brothread,New brothread,,,NB-WAES-40,Neuf,Restreint,"22,49","22,49",1,"22,49","0,00","","0,00","22,49",="29849",,,,0%,"","22,49",,,N/A,,,,,,,,,"NB EMBROIDERY & SEWING SUPPLIES CO.,LIMITED",,IT,IT05241850261
18/03/2023,408-0617376-1406711,M.S. Garuda Technologies Ltd.,CA-10012065,1,EUR,"19,99","0,00","0,00","0,00","19,99",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,18/03/2023,Expédié,Livré,20/03/2023,6G58076188627,1,"(CA-10012065-2)SALOUA ELBACHIRI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","19,99","0,00","","0,00","19,99",FR,"19,99",La Poste,INV-FR-484700875-2023-63,,Kitchen,B085GJ7KYF,"New brothread 25 Microns Transparent Wash Away (Soluble dans l'eau) Film Stabilisateur de Broderie - 12"" x25Yd Rouleau",="60120000","Instruments de musique, jeux, jouets, et équipements, matériel, accessoires et fournitures pour l'enseignement et les activités artisanales et artistiques","Équipements, accessoires et fournitures pour les activités artisanales et artistiques","Équipements, accessoires et fournitures pour les activités artisanales et artistiques","Équipements, accessoires et fournitures pour les activités artisanales et artistiques",,New brothread,New brothread,,,NB-WAES-40,Neuf,Restreint,"19,99","19,99",1,"19,99","0,00","","0,00","19,99",="29850",,,,0%,"","19,99",,,N/A,,,,,,,,,"NB EMBROIDERY & SEWING SUPPLIES CO.,LIMITED",,FR,FR19843858648
18/03/2023,408-1193716-9557155,M.S. Garuda Technologies Ltd.,CA-10012065,1,EUR,"21,41","0,00","0,00","0,00","21,41",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,18/03/2023,Expédié,Livré,24/03/2023,="155056874093737",1,"(CA-10012065-3)SALOUA ELBACHIRI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","21,41","0,00","","0,00","22,60",GB,"22,60",DPD,INV-GB-170272941-2023-57,,Kitchen,B07CJYM76N,"YEQIN Lot de 3 cercles à coudre pour machine à broder Brother SE270D, SE-350, SE-400, HE-120, HE-240, 500D, 900D, 950D, etc.",="53141626","Habillement, bagages et produits d'hygiène personnelle",Fournitures pour la couture et accessoires,Fournitures diverses pour la couture,Cercles à broder,,YEQIN,YEQIN,,UEW-11,UEW-11,Neuf,Restreint,"21,41","21,41",1,"21,41","0,00","","0,00","22,60",="29851",,,,0%,"","22,60",,,N/A,,,,,,,,,yi wu shi ye qin dian zi shang wu you xian gong si,,GB,GB320746228
17/03/2023,408-1842263-7600355,M.S. Garuda Technologies Ltd.,CA-10012064,1,EUR,"32,49","0,00","0,00","0,00","32,49",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,18/03/2023,Expédié,Livré,20/03/2023,6G58076125165,1,"(CA-10012064-6)Rozara, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","32,49","0,00","","0,00","32,49",FR,"32,49",La Poste,INV-FR-1085795115-2023-34,,Lighting,B09DPK9K82,"Ghost Neon Signs Spectre LED Lights Sign Gamer Room Retro Arcade Decor 17""x 5.9"" avec USB/Switch Ghost Neon Kids Lights Hanging for Gaming Zone Man Ca",="55120000",Produits publiés,Signalisation et accessoires,Signalisation et accessoires,Signalisation et accessoires,,Wanxing,Wanxing,,,,Neuf,Restreint,"32,49","32,49",1,"32,49","0,00","","0,00","32,49",="29847",,,,0%,"","32,49",,,N/A,,,,,,,,,"Yiwu Fengyun Myth E-Commerce Co., Ltd.",,FR,FR32884551284
17/03/2023,408-3785998-6635518,M.S. Garuda Technologies Ltd.,CA-10012064,1,EUR,"111,71","0,00","0,00","0,00","111,71",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,20/03/2023,Expédié,Livré,21/03/2023,1ZV0R5596840624416,1,"(CA-10012064-4)Rozara, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","111,71","0,00","","0,00","111,71",,"111,71",UPS,FR31391ABEY,,Toy,B000KEPCQI,KidKraft 17850 Ensemble Table Circuit de Train en bois Waterfall Mountain pour enfant avec accessoires inclus (120 pièces),="60141000","Instruments de musique, jeux, jouets, et équipements, matériel, accessoires et fournitures pour l'enseignement et les activités artisanales et artistiques",Jeux et jouets,Jouets,Jouets,KIDKX,KidKraft,KidKraft,,="17850",="17850",Neuf,,"195,83","111,71",1,"111,71","0,00","","0,00","111,71",="29845",,,,0%,"","111,71",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
17/03/2023,408-1230148-7758720,M.S. Garuda Technologies Ltd.,CA-10012064,1,EUR,"14,66","0,00","0,00","0,00","14,66",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,18/03/2023,Expédié,Livré,21/03/2023,6G57128485073,1,"(CA-10012064-5)Rozara, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","14,66","0,00","","0,00","14,66",IT,"14,66",La Poste,INV-IT-1863650295-2023-192,,Lighting,B0BCQKKFLR,"LUFEIS Enseigne Lumineuse Bar, Néon LED Déco Bar, Décoration Neon Murale, Panneau Lumineux LED Neon, Néon Alimenté par USB ou Batterie pour Déco",="55120000",Produits publiés,Signalisation et accessoires,Signalisation et accessoires,Signalisation et accessoires,,LUFEIS,LUFEIS,,,,Neuf,Restreint,"14,66","14,66",1,"14,66","0,00","","0,00","14,66",="29846",,,,0%,"","14,66",,,N/A,,,,,,,,,dongguanshiweiyuyudianzishangwuyouxiangongsi,,IT,IT02798610990
17/03/2023,408-4220377-0408315,M.S. Garuda Technologies Ltd.,CA-10012064,2,EUR,"41,64","0,00","0,00","8,34","49,98",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,17/03/2023,Expédié,Livré,20/03/2023,6G58564101299,2,"(CA-10012064-3)Rozara, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","41,64","0,00","","8,34","49,98",FR,"41,64",La Poste,INV-FR-2043651885-2023-55,,CE,B0BP26DDS1,"Stylet Tablette, Stylo à Charge Rapide Kingone 2023 Version pour Les écrans Tactiles iPad, iPhone et Android",="43211700","Composants, fournitures et équipements informatiques et de communication",Accessoires et équipement informatiques,Dispositifs d’entrée de données,Dispositifs d’entrée de données,,Kingone,Kingone,,,,Neuf,Restreint,"20,82","20,82",2,"41,64","0,00","","8,34","49,98",="29844",,,,20%,"","41,64",,,N/A,,,,,,,,,JiLinShengLiuYueDianZiShangWuYouXianGongSi,,FR,FR80918977570
17/03/2023,408-5341445-2115503,M.S. Garuda Technologies Ltd.,CA-10012064,2,EUR,"224,14","0,00","0,00","0,00","224,14",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,17/03/2023,Expédié,Livré,20/03/2023,6G57946783436,1,"(CA-10012064-7)Rozara, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","112,07","0,00","","0,00","112,07",DE,"112,07",La Poste,INV-DE-394587735-2023-355,,Home Improvement,B07M9XHTH3,"Sonomètre 30~130 db écran LCD 9,6"" à suspendre au mur testeur de mesure du bruit avec enregistreur de données et alarme (SW-525B)",="31000000",Composants et fournitures pour la fabrication,Composants et fournitures pour la fabrication,Composants et fournitures pour la fabrication,Composants et fournitures pour la fabrication,,Zerodis,Zerodis,,Zerodis39f2gtd0rk,Zerodis39f2gtd0rk,Neuf,Restreint,"112,07","112,07",1,"112,07","0,00","","0,00","112,07",="29848",,,,0%,"","112,07",,,N/A,,,,,,,,,Shen Zhen Zuo Xu Ke Ji You Xian Gong Si,,DE,DE315764531
17/03/2023,408-5341445-2115503,M.S. Garuda Technologies Ltd.,CA-10012064,2,EUR,"224,14","0,00","0,00","0,00","224,14",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,17/03/2023,Expédié,Livré,20/03/2023,6G57946782668,1,"(CA-10012064-7)Rozara, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","112,07","0,00","","0,00","112,07",DE,"112,07",La Poste,INV-DE-394587735-2023-356,,Home Improvement,B07M9XHTH3,"Sonomètre 30~130 db écran LCD 9,6"" à suspendre au mur testeur de mesure du bruit avec enregistreur de données et alarme (SW-525B)",="31000000",Composants et fournitures pour la fabrication,Composants et fournitures pour la fabrication,Composants et fournitures pour la fabrication,Composants et fournitures pour la fabrication,,Zerodis,Zerodis,,Zerodis39f2gtd0rk,Zerodis39f2gtd0rk,Neuf,Restreint,"112,07","112,07",1,"112,07","0,00","","0,00","112,07",="29848",,,,0%,"","112,07",,,N/A,,,,,,,,,Shen Zhen Zuo Xu Ke Ji You Xian Gong Si,,DE,DE315764531
17/03/2023,408-4389625-0894712,M.S. Garuda Technologies Ltd.,CA-10012064,1,EUR,"12,49","0,00","0,00","0,00","12,49",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,18/03/2023,Expédié,Livré,20/03/2023,6G58076082543,1,"(CA-10012064-2)Rozara, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","12,49","0,00","","0,00","12,49",FR,"12,49",La Poste,INV-FR-742386215-2023-18,,Kitchen,B07DNY3W9M,"Qiaofei Neon Light, LED Rouge à lèvres/Kiss Pancarte en forme de Décor clair, décoration murale pour Noël, fête d'anniversaire, chambre d'enfant",="55121700",Produits publiés,Signalisation et accessoires,Signalisation,Signalisation,,QiaoFei,QiaoFei,,QFNLTH2002001,QFNLTH2002001,Neuf,Restreint,"12,49","12,49",1,"12,49","0,00","","0,00","12,49",="29843",,,,0%,"","12,49",,,N/A,,,,,,,,,Shenzhen Shi Qiaofei Ke Ji YouXian Gong Si,,FR,FR32880341581
17/03/2023,408-7930017-7892322,M.S. Garuda Technologies Ltd.,CA-10012060,1,EUR,"24,99","0,00","0,00","0,00","24,99",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,17/03/2023,Expédié,Livré,21/03/2023,6G57128425109,1,"(CA-10012060-2)Omar Bencherki, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","24,99","0,00","","0,00","24,99",IT,"24,99",La Poste,INV-IT-1440682795-2023-154,,Beauty,B09LR1F2MS,"RSTYLE Kit Ongle Gel UV Complet, 2 * 30g Nude Transparent Couleur Poly Nail Extension Gel Kit avec Lampe UV Poly Tube Ongle Gel Kit Manucure Semi Perm",="53131600","Habillement, bagages et produits d'hygiène personnelle",Produits pour l'hygiène personnelle,Produits de bains et d'hygiène du corps,Produits de bains et d'hygiène du corps,,RSTYLE,RSTYLE,,,,Neuf,Restreint,"24,99","24,99",1,"24,99","0,00","","0,00","24,99",="29831",,,,0%,"","24,99",,,N/A,,,,,,,,,guangzhouhuosejiemaoyiyouxiangongsi,,IT,IT05174090265
17/03/2023,408-3667603-6959533,M.S. Garuda Technologies Ltd.,CA-10012060,1,EUR,"20,82","0,00","0,00","0,00","20,82",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,17/03/2023,Expédié,Livré,20/03/2023,6G58075961511,1,"(CA-10012060-1)Omar Bencherki, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","20,82","0,00","","0,00","20,82",,"20,82",La Poste,FR3122ZABEY,,Health and Beauty,B0798JLGZN,Livia Gel Pads| Le bouton stop pour les règles douloureuses| Soulagement des douleurs menstruelles et d'endométriose| sans médicament| Accessoires ,="53131600","Habillement, bagages et produits d'hygiène personnelle",Produits pour l'hygiène personnelle,Produits de bains et d'hygiène du corps,Produits de bains et d'hygiène du corps,0C5IH,Livia,Livia,,LI GEL PADS STICKY,LI GEL PADS STICKY,Neuf,,"20,83","20,82",1,"20,82","0,00","","0,00","20,82",="29830",,,,0%,"","20,82",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
16/03/2023,408-9867553-6485930,M.S. Garuda Technologies Ltd.,CA-10012058,1,EUR,"30,33","0,00","0,00","0,00","30,33",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,17/03/2023,Expédié,Livré,20/03/2023,6G58180093800,1,"(CA-10012058-1)HASSAN LAMLAHI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","30,33","0,00","","0,00","30,33",,"30,33",La Poste,FR311W8ABEY,,Book,="2072735149",Les Chiffonniers de Paris,="55101500",Produits publiés,Imprimés,Publications imprimées,Publications imprimées,GALC3,Gallimard,Gallimard,,,,Neuf,,"30,33","30,33",1,"30,33","0,00","","0,00","30,33",="29827",,,,0%,"","30,33",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
16/03/2023,408-6768258-3641962,M.S. Garuda Technologies Ltd.,CA-10012058,1,EUR,"19,16","0,00","0,00","0,00","19,16",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,17/03/2023,Expédié,Livré,20/03/2023,6G58180105282,1,"(CA-10012058-2)HASSAN LAMLAHI, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","19,16","0,00","","0,00","19,16",FR,"19,16",La Poste,,,CE,B087M5D7JT,MovTEK Kit de Remplacement de Ecran Tactile Vitre Avant d'origine pour Samsung Galaxy S8 Plus S8+ G955F Lentille Extérieur Verre avec l'outil de sép,="43191600","Composants, fournitures et équipements informatiques et de communication",Appareils et accessoires de communication,Accessoires et pièces détachées pour appareils de communication personnels,Accessoires et pièces détachées pour appareils de communication personnels,,MovTEK,MovTEK Direct,,BL-064,BL-064,Neuf,Restreint,"19,16","19,16",1,"19,16","0,00","","0,00","19,16",="29828",,,,0%,"","19,16",,,N/A,,,,,,,,,Shen Zhen Shi Bai Tai Xin Ke Ji You Xian Gong Si,,FR,FR26879616795
16/03/2023,408-2984871-7741944,M.S. Garuda Technologies Ltd.,CA-10012057,1,EUR,"24,99","0,00","0,00","0,00","24,99",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,16/03/2023,Expédié,Livré,20/03/2023,="56420017194393500",1,"(CA-10012057-1)Yahia Benchekchou, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","24,99","0,00","","0,00","24,99",,"24,99",Colis Privé,FR311M7ABEY,,Personal Computer,B08268F6XN,Piles Rechargeables USB AA - (LR06) [HR06] Paleblue,="26111700",Machines et accessoires pour la production et la distribution d'électricité,"Batteries, générateurs et transmission cinétique",Batteries et accessoires ,Batteries et accessoires ,PABBE,paleblue,Pale Blue,,PB-AA,="860002749501",Neuf,,"24,99","24,99",1,"24,99","0,00","","0,00","24,99",="29826",,,,0%,"","24,99",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
15/03/2023,408-2626287-3064316,M.S. Garuda Technologies Ltd.,CA-10012056,2,EUR,"28,32","0,00","0,00","0,00","28,32",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,16/03/2023,Expédié,Livré,20/03/2023,6G58276237880,2,"(CA-10012056-1)Abdel-ileh Chouar, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","28,32","0,00","","0,00","28,32",DE,"28,32",La Poste,INV-DE-171640971-2023-13,,Home Improvement,B08NWZ8LCR,"Betoores Poche de Chevet, Sac de Rangement de Chevet en Feutre, Organisateur canapé mit Porte-Bouteille pour la Maison Rails de lit, Canapé, Lits Su",="56000000",Meubles et ameublements,Meubles et ameublements,Meubles et ameublements,Meubles et ameublements,,Betoores,Betoores,,0700-DG,0700-DG,Neuf,Restreint,"14,16","14,16",2,"28,32","0,00","","0,00","28,32",="29825",,,,0%,"","28,32",,,N/A,,,,,,,,,Shen Zhen Shi Li Wo Mao Yi You Xian Gong Si,,DE,DE318207469
14/03/2023,408-0146749-1366707,M.S. Garuda Technologies Ltd.,CA-10012054,1,EUR,"7,41","0,00","0,00","0,00","7,41",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,15/03/2023,Expédié,Livré,15/03/2023,="534000021219175203",1,"(CA-10012054-2)Zineb Lahlou, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","7,41","0,00","","0,00","7,41",,"7,41",PAACK,FR3109ZABEY,,Beauty,B09KWVW6BP,"L'Oréal Paris - Lotion Peeling Visage Lissante et Exfoliante - Élimine les Points Noirs, Pores Dilatés & Imperfections - À l'Acide Glycolique 5% -",="53131600","Habillement, bagages et produits d'hygiène personnelle",Produits pour l'hygiène personnelle,Produits de bains et d'hygiène du corps,Produits de bains et d'hygiène du corps,LOTMI,L'Orxe9al Paris,L'Orxe9al,,,LYSMOSKI,Neuf,,"7,41","7,41",1,"7,41","0,00","","0,00","7,41",="29823",,,,0%,"","7,41",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
14/03/2023,408-4831703-9678715,M.S. Garuda Technologies Ltd.,CA-10012054,1,EUR,"20,82","0,00","0,00","0,00","20,82",Fermé,,,,Clickapporter,purchasing@clickapporter.com,FR,FR23841720931,15/03/2023,Expédié,Livré,15/03/2023,="51140544678493500",1,"(CA-10012054-1)Zineb Lahlou, 110 B Avenue du Général Leclerc, Quai niv 1 Bat 7 IMX France (Colisexpat/CLICKAPPORTER), PANTIN, 93500, FR","20,82","0,00","","0,00","20,82",,"20,82",Colis Privé,FR3109ZABEY,,Beauty,B09QHD88P4,L'Oréal Paris - Press-Crème - Soin de Nuit Anti-Âge au Rétinol Visage & Cou - Teint Homogène & Peau Raffermie - Au Rétinol et à la Niacinamide ,="53131600","Habillement, bagages et produits d'hygiène personnelle",Produits pour l'hygiène personnelle,Produits de bains et d'hygiène du corps,Produits de bains et d'hygiène du corps,LOTMI,L'Orxe9al Paris,L'Orxe9al,,,="2402562",Neuf,,"20,82","20,82",1,"20,82","0,00","","0,00","20,82",="29822",,,,0%,"","20,82",,,N/A,,,,,,,,,Amazon Business EU SARL,,FR,FR78843272238
